price,rooms,lat,lng,square_total,square_living,square_kitchen,ceiling,renovation,view,type_house,floor_type,built_year,energy_efficiency,playground,sportsground,foundation_type,electrical_type,electrical_entries_count,heating_type,hot_water_type,gas_type,ventilation_type,firefighting_type,drainage_type,floor_flat,floor_house,price/m2,wikipedia
9200000.0,1,55.830847,37.353998,54.0,21.2,14.1,2.95,Без ремонта,Во двор,Монолитный,Железобетонные,2012.0,Не присвоен,Отсутствует,Отсутствует,,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточная вентиляция,Пожарные гидранты,Внутренние водостоки,13.0,24.0,170370.37037037036,ru:Митино (район Москвы)
16200000.0,3,55.736883,37.847927,78.0,40.2,11.0,2.75,Дизайнерский,На улицу и двор,Монолитный,Железобетонные,1997.0,E,Есть,Есть,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,8.0,12.0,207692.3076923077,ru:Новокосино (район Москвы)
6500000.0,2,55.499153,37.554358,48.0,30.0,,,Евроремонт,,Кирпичный,Железобетонные,1967.0,,Есть,Отсутствует,Бетонные столбы,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Приточно-вытяжная вентиляция,,Внутренние водостоки,1.0,3.0,135416.66666666666,ru:Щербинка
10500000.0,3,55.874157,37.694028,58.0,46.0,5.2,2.64,Евроремонт,На улицу и двор,Кирпичный,Железобетонные,1971.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Приточно-вытяжная вентиляция,,Внутренние водостоки,3.0,9.0,181034.4827586207,ru:Лосиноостровский район
17000000.0,3,55.716483,37.612147,74.3,53.1,7.0,,Косметический,На улицу и двор,Кирпичный,Деревянные,1933.0,C,Есть,Отсутствует,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Вытяжная вентиляция,,Наружные водостоки,4.0,5.0,228802.1534320323,ru:Даниловский район (Москва)
11400000.0,2,55.52513,37.5114,59.0,30.0,8.0,2.6,Косметический,,Панельный,Железобетонные,2015.0,C,Есть,Есть,Сплошной,Центральное,1.0,"Автономная котельная (крышная, встроенно-пристроенная)","Автономная котельная (крышная, встроенно-пристроенная)",Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,1.0,17.0,193220.33898305084,ru:Поселение Воскресенское (Москва)
135000000.0,3,55.786703,37.617474,154.0,,,3.3,Дизайнерский,,Монолитный,Железобетонные,2013.0,,Есть,Есть,Свайный,Центральное,3.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,11.0,14.0,876623.3766233766,ru:Мещанский район
11000000.0,1,55.823975,37.65400800000001,34.0,20.0,9.0,,Евроремонт,Во двор,Кирпичный,Железобетонные,1968.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Вытяжная вентиляция,,Наружные водостоки,7.0,9.0,323529.4117647059,ru:Алексеевский район (Москва)
11500000.0,3,55.892713,37.573007,65.1,46.0,6.0,,Косметический,,Монолитный,Железобетонные,1977.0,D,Есть,Есть,,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,8.0,12.0,176651.30568356375,ru:Лианозово (район Москвы)
8600000.0,2,55.633516,37.683473,45.0,,7.0,2.64,Косметический,,Панельный,Железобетонные,1968.0,D,Есть,Есть,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Приточно-вытяжная вентиляция,,Внутренние водостоки,2.0,9.0,191111.11111111112,ru:Царицыно (район Москвы)
23500000.0,2,55.835356,37.495967,59.0,28.0,15.0,2.9,Евроремонт,,Монолитный,Железобетонные,2016.0,A,Есть,Есть,Бетонные столбы,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,10.0,23.0,398305.0847457627,ru:Войковский район
10650000.0,1,55.555596,37.557188,40.5,11.9,18.8,2.64,Косметический,,Монолитный,,,,,,,,,,,,,,,23.0,35.0,262962.962962963,ru:Южное Бутово
28700000.0,3,55.622629,37.495923,103.0,50.0,14.0,3.0,Евроремонт,На улицу и двор,Монолитный,Железобетонные,2006.0,,Есть,Отсутствует,Свайный,Центральное,4.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Вытяжная вентиляция,Автоматическая,,8.0,23.0,278640.77669902914,ru:Тёплый Стан (район Москвы)
12500000.0,3,55.644907,37.723618,59.7,43.1,6.0,,,,Панельный,,,,,,,,,,,,,,,4.0,9.0,209380.23450586264,ru:Марьино (район Москвы)
37000000.0,3,55.827671,37.48755900000001,187.0,105.0,35.0,3.1,Без ремонта,,Монолитный,Железобетонные,2008.0,B+,Есть,Отсутствует,Свайный,Центральное,4.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Вытяжная вентиляция,Автоматическая,Внутренние водостоки,10.0,40.0,197860.96256684492,ru:Войковский район
21800000.0,3,55.758372,37.561149,75.0,54.0,8.0,3.2,Без ремонта,Во двор,Кирпичный,Железобетонные,1958.0,Не присвоен,Отсутствует,Отсутствует,Ленточный,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,4.0,5.0,290666.6666666667,ru:Пресненский район
10500000.0,2,55.591559,37.44647,56.3,,9.8,2.8,Без ремонта,,Монолитно кирпичный,,,,,,,,,,,,,,,14.0,17.0,186500.88809946715,ru:Поселение Сосенское
29500000.0,3,55.731262,37.666036,94.7,51.0,14.6,2.7,,,Монолитный,Железобетонные,2003.0,Не присвоен,Есть,Отсутствует,,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,4.0,17.0,311510.03167898627,ru:Южнопортовый район
18450000.0,3,55.778553,37.534775,74.5,43.0,10.0,2.64,,Во двор,Панельный,Железобетонные,1989.0,D,Отсутствует,Отсутствует,Ленточный,Центральное,2.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Отсутствует,Вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,10.0,17.0,247651.0067114094,ru:Хорошёвский район
11900000.0,1,55.639258,37.594045,47.3,31.0,8.6,2.7,Косметический,Во двор,Панельный,,,,,,,,,,,,,,,5.0,16.0,251585.62367864695,ru:Чертаново Северное
7650000.0,1,55.700101,37.941981,39.0,14.0,11.0,2.6,Косметический,Во двор,Панельный,Железобетонные,2018.0,,Отсутствует,Отсутствует,,Центральное,1.0,"Автономная котельная (крышная, встроенно-пристроенная)",Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,15.0,16.0,196153.84615384616,ru:Некрасовка (район Москвы)
11900000.0,3,55.64714300000001,37.655338,59.7,45.0,6.1,,,Во двор,Панельный,Железобетонные,1969.0,Не присвоен,Есть,Отсутствует,,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Приточно-вытяжная вентиляция,,Внутренние водостоки,3.0,9.0,199329.98324958124,ru:Москворечье-Сабурово
61900000.0,3,55.71572800000001,37.508005,145.0,58.0,12.0,3.15,Евроремонт,,Монолитный,,,,,,,,,,,,,,,8.0,18.0,426896.5517241379,ru:Раменки (район Москвы)
49950000.0,2,55.70573100000001,37.491126,80.0,30.0,,3.0,,На улицу и двор,,,2020.0,,,,,,6.0,Центральное,,Отсутствует,,,,19.0,21.0,624375.0,ru:Раменки (район Москвы)
10550000.0,2,55.699659,37.92538,64.0,34.0,12.0,2.64,,Во двор,Панельный,Железобетонные,2014.0,B+,Есть,Отсутствует,,Центральное,4.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,2.0,17.0,164843.75,ru:Некрасовка (район Москвы)
8000000.0,2,55.637179,37.793948,47.6,32.0,9.0,2.7,Евроремонт,Во двор,Блочный,Железобетонные,1967.0,,Есть,Отсутствует,Ленточный,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,4.0,12.0,168067.22689075628,ru:Капотня (район)
16500000.0,3,55.853577,37.586527,72.0,50.0,14.0,2.8,Косметический,На улицу и двор,Панельный,Железобетонные,1978.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,,Внутренние водостоки,8.0,12.0,229166.66666666666,ru:Отрадное (район Москвы)
12300000.0,2,55.79286800000001,37.81407,54.0,29.0,10.0,2.48,Косметический,Во двор,Блочный,Железобетонные,1985.0,Не присвоен,Есть,Есть,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Пожарный кран,Внутренние водостоки,13.0,16.0,227777.77777777778,ru:Восточное Измайлово
13500000.0,2,55.692501,37.61123,43.2,27.2,6.0,2.6,Евроремонт,Во двор,Кирпичный,Железобетонные,1962.0,Не присвоен,Отсутствует,Отсутствует,,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Вытяжная вентиляция,,Наружные водостоки,4.0,5.0,312500.0,ru:Донской район (Москва)
9450000.0,2,55.62536899999999,37.734264,51.0,29.9,8.5,2.64,Косметический,На улицу,Панельный,Железобетонные,1992.0,Не присвоен,Отсутствует,Отсутствует,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточная вентиляция,Пожарные гидранты,Внутренние водостоки,5.0,17.0,185294.11764705883,ru:Зябликово (район Москвы)
45000000.0,3,55.782572,37.531936,139.5,85.0,19.3,2.9,Евроремонт,На улицу и двор,Монолитный,Железобетонные,,,,,,,,,,,,,,15.0,23.0,322580.6451612903,ru:Хорошёвский район
9500000.0,2,55.80276600000001,37.836213,54.7,28.2,11.4,2.78,Косметический,,Блочный,Железобетонные,1985.0,Не присвоен,Есть,Есть,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,14.0,16.0,173674.5886654479,ru:Восточное Измайлово
6590000.0,1,55.733346,37.748089,30.4,19.0,6.0,,,,Кирпичный,Железобетонные,1960.0,,Отсутствует,Отсутствует,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Вытяжная вентиляция,,Наружные водостоки,2.0,5.0,216776.3157894737,ru:Нижегородский район (Москва)
13950000.0,1,55.726198,37.563548,35.4,19.4,9.5,2.64,Без ремонта,Во двор,Кирпичный,Железобетонные,1974.0,Не присвоен,Отсутствует,Отсутствует,Свайный,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,4.0,14.0,394067.7966101695,ru:Хамовники (район Москвы)
